id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
909,random,0.020258035310095065,0.9657393992605683,4.0,12.0,14.0,274.0,12.0,145.0,137.0
909,niche,0.021043681581464555,0.939138084275251,2.0,40.0,26.0,181.0,7.0,241.0,453.0
909,cascade,0.021553519366930445,0.9556411390059337,5.0,25.0,20.0,249.0,16.0,250.0,309.0
909,hierarchy,0.0192,0.969605563689906,1.0,3.0,14.0,317.0,2.0,182.0,134.0
909,maxent,0.0192,0.945775038862287,2.0,24.0,76.0,0.0,0.0,1150.0,353.0
946,random,0.04079861111111111,0.9463805728264412,3.0,2.0,1.0,1141.0,50.0,589.0,569.0
946,niche,0.031911357340720224,0.9369332400039303,2.0,31.0,12.0,389.0,39.0,578.0,749.0
946,cascade,0.038736979166666664,0.9398442401258505,5.0,10.0,13.0,811.0,59.0,850.0,793.0
946,hierarchy,0.037109375,0.9546145957527198,1.0,9.0,0.0,1000.0,45.0,467.0,553.0
946,maxent,0.03721788194444445,0.9422912691834691,2.0,65.0,31.0,0.0,0.0,1554.0,2226.0
26,random,0.06770833333333333,0.9568646497693617,1.0,4.0,3.0,33.0,2.0,16.0,16.0
26,niche,0.07231404958677685,0.9414813533020205,2.0,9.0,4.0,16.0,0.0,26.0,33.0
26,cascade,0.059027777777777776,0.9470848903819773,5.0,6.0,9.0,18.0,6.0,23.0,23.0
26,hierarchy,0.06076388888888889,0.9567013662559385,1.0,4.0,4.0,35.0,1.0,27.0,18.0
26,maxent,0.059027777777777776,0.9685741304757516,2.0,4.0,9.0,12.0,1.0,20.0,7.0
27,random,0.015722615576842982,0.9714730204101658,3.0,14.0,20.0,167.0,5.0,87.0,84.0
27,niche,0.0164,0.9631735462064598,2.0,36.0,16.0,170.0,2.0,116.0,196.0
27,cascade,0.013384861909699312,0.9694571168273302,4.0,28.0,35.0,101.0,5.0,125.0,113.0
27,hierarchy,0.013349946600213599,0.9759020898985735,2.0,17.0,27.0,163.0,0.0,109.0,74.0
27,maxent,0.013349946600213599,0.9006848287484718,2.0,9.0,97.0,0.0,0.0,2807.0,95.0
28,random,0.1111111111111111,0.9327050353580051,3.0,2.0,3.0,15.0,0.0,9.0,6.0
28,niche,0.10493827160493827,0.9398657874146139,2.0,3.0,1.0,8.0,8.0,4.0,26.0
28,cascade,0.12654320987654322,0.9230555247548653,4.0,2.0,4.0,35.0,13.0,44.0,45.0
28,hierarchy,0.11728395061728394,0.9389506753896704,2.0,2.0,1.0,45.0,4.0,36.0,21.0
28,maxent,0.11728395061728394,0.92201538864021,3.0,4.0,5.0,23.0,7.0,30.0,27.0
947,random,0.14681440443213298,0.9121025522835842,2.0,2.0,1.0,48.0,9.0,32.0,40.0
947,niche,0.20221606648199447,0.8586762344067895,2.0,4.0,5.0,28.0,3.0,25.0,32.0
947,cascade,0.1523545706371191,0.9180111035259833,2.0,3.0,4.0,58.0,28.0,89.0,71.0
947,hierarchy,0.15789473684210525,0.9288374099660223,1.0,1.0,0.0,54.0,6.0,37.0,22.0
947,maxent,0.16066481994459833,0.9105660293112547,2.0,2.0,3.0,35.0,37.0,76.0,86.0
1262,random,0.1024,0.9408984588233458,1.0,0.0,3.0,69.0,8.0,31.0,25.0
1262,niche,0.06804733727810651,0.9309322903746634,2.0,11.0,5.0,17.0,5.0,19.0,36.0
1262,cascade,0.11094674556213018,0.9187495517016694,3.0,4.0,5.0,107.0,32.0,96.0,104.0
1262,hierarchy,0.08284023668639054,0.9413416441117758,1.0,3.0,3.0,64.0,9.0,39.0,26.0
1262,maxent,0.08875739644970414,0.9054630611381288,3.0,14.0,7.0,4.0,12.0,115.0,211.0
1261,random,0.14049586776859505,0.923109548578944,1.0,1.0,3.0,1.0,0.0,3.0,0.0
1261,niche,0.17,0.9023728453235775,2.0,5.0,0.0,0.0,0.0,2.0,2.0
1261,cascade,0.13194444444444445,0.9219697019718425,3.0,3.0,4.0,10.0,4.0,19.0,13.0
1261,hierarchy,0.10059171597633136,0.941003036766897,3.0,2.0,4.0,13.0,1.0,13.0,5.0
1261,maxent,0.10059171597633136,0.9240860963259951,3.0,7.0,3.0,4.0,3.0,13.0,19.0
1219,random,0.05835459183673469,0.9404454131636553,1.0,1.0,1.0,438.0,38.0,226.0,202.0
